Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
DEVERNOIS;FR0000060840;ALDEV;"Euronext Growth Paris";EUR;10.50;10.50;10.50;10.50;"30/01/2024 11:30";CET;299;3139.50;10.50;14/02/2024
"DIAGNOSTIC MED BSA";FR001400IAQ8;DMSBS;"Euronext Growth Paris";EUR;0.0044;0.011;0.0044;0.0044;"14/02/2024 11:16";CET;433;1.9316;0.0044;14/02/2024
"DIAGNOSTIC MEDICAL";FR0012202497;ALDMS;"Euronext Growth Paris";EUR;1.15;1.165;1.13;1.15;"14/02/2024 15:14";CET;5083;5817.79;1.15;14/02/2024
"DMS IMAGING";BE0974289218;ALIMG;"Euronext Growth Brussels, Paris";EUR;0.0205;0.022;0.02;0.022;"14/02/2024 16:59";CET;36078;725.894;0.022;14/02/2024
DNXCORP;FR0010436584;ALDNX;"Euronext Growth Paris";EUR;22.60;23.00;22.40;23.00;"14/02/2024 16:44";CET;316;7184.40;23.00;14/02/2024
"DOCK.PETR.AMBES AM";FR0000065260;DPAM;"Euronext Paris";EUR;494.00;494.00;494.00;494.00;"14/02/2024 11:30";CET;1;494.00;494.00;14/02/2024
DOLFINES;FR0014004QZ9;ALDOL;"Euronext Growth Paris";EUR;0.0009;0.001;0.0008;0.0009;"14/02/2024 17:35";CET;13150021;11960.4937;0.0009;14/02/2024
DONTNOD;FR0013331212;ALDNE;"Euronext Growth Paris";EUR;4.48;4.64;4.35;4.46;"14/02/2024 17:35";CET;62714;283797.52;4.46;14/02/2024
"DRONE VOLT";FR0013088606;ALDRV;"Euronext Growth Paris";EUR;0.0091;0.0091;0.0088;0.0091;"14/02/2024 17:35";CET;4345845;38665.2427;0.0091;14/02/2024
"DRONE VOLT BS26";FR0014007951;BNBS;"Euronext Growth Paris";EUR;0.0005;0.001;0.0005;0.001;"29/01/2024 13:32";CET;92827;71.4135;0.001;14/02/2024
DYNAFOND;FR0000052920;MLDYN;"Euronext Access Paris";EUR;0.70;0.70;0.70;0.70;"30/08/2023 16:30";CET;769;538.30;0.70;14/02/2024
"DYNEX ENERGY SA";LU0881232630;MLDYX;"Euronext Access Paris";EUR;1.50;1.50;1.50;1.50;"16/09/2022 16:30";CET;6;9.00;1.50;14/02/2024
"E PANGO";FR0014004339;ALAGO;"Euronext Growth Paris";EUR;0.80;0.852;0.80;0.80;"14/02/2024 17:06";CET;2140;1765.89;0.80;14/02/2024
"EASSON HOLDINGS";HK0000038783;MLEAS;"Euronext Access Paris";EUR;1.56;1.56;1.56;1.56;"21/12/2023 11:30";CET;20;31.20;1.56;14/02/2024
"EAUX DE ROYAN";FR0007200100;MLEDR;"Euronext Access Paris";EUR;88.00;88.00;88.00;88.00;"13/02/2024 16:30";CET;30;2640.00;88.00;14/02/2024
EAVS;FR0010536185;MLEAV;"Euronext Access Paris";EUR;13.00;13.00;13.00;13.00;"28/09/2022 11:30";CET;2;26.00;13.00;14/02/2024
ECOLUTIONS;DE000A0XYM45;MLECO;"Euronext Access Paris";EUR;1.25;1.25;1.25;1.25;"21/12/2016 15:00";CET;100;125.00;1.25;14/02/2024
ECOMIAM;FR0013534617;ALECO;"Euronext Growth Paris";EUR;3.59;3.60;3.58;3.58;"14/02/2024 17:35";CET;589;2116.72;3.58;14/02/2024
